户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
1室0厅 ,35.91平米,南,低层,精装修,2002年,有 ,商品房,普通住宅,平层,平房,岳麓,1,28,7798元/平米
1室0厅 ,35.92平米,北,高楼层,暂无,,,,,,,雨花,1,36,10023元/平米
1室0厅 ,35平米,东南,低层,简装修,2004年,有 ,商品房,普通住宅,平层,板楼,芙蓉,1,35,10000元/平米
1室0厅 ,35平米,东南,低层,简装修,2008年,有 ,个人产权,普通住宅,平层,塔楼,天心,1,20,5715元/平米
1室0厅 ,35平米,南,低层,精装修,2003年,无 ,个人产权,普通住宅,平层,砖混,岳麓,0,42,12000元/平米
1室0厅 ,35平米,南,低层,毛坯,2000年,有 ,商品房,普通住宅,,板楼,长沙县,1,29,8286元/平米
1室0厅 ,35平米,西,中层,毛坯,,有 ,商品房,普通住宅,平层,,长沙县,0,29.5,8429元/平米
1室0厅 ,36.18平米,北,低层,精装修,2003年,无 ,商品房,普通住宅,平层,钢混,岳麓,1,35.5,9813元/平米
1室0厅 ,36.18平米,西,高楼层,暂无,,,,,,,天心,0,50,13820元/平米
1室0厅 ,36.19平米,北,中层,简装修,1998年,无 ,个人产权,普通住宅,开间,板楼,岳麓,0,43,11882元/平米
1室0厅 ,36.2平米,南,中楼层,暂无,,,,,,,雨花,1,32,8840元/平米
1室0厅 ,36.2平米,南,中层,精装修,2003年,有 ,商品房,普通住宅,,板楼,雨花,1,30,8288元/平米
1室0厅 ,36.2平米,南,中层,简装修,2012年,有 ,个人产权,普通住宅,平层,板楼,雨花,1,30,8288元/平米
1室0厅 ,36.36平米,南,高层,毛坯,2016年,有 ,商品房,普通住宅,平层,钢混,岳麓,1,41,11277元/平米
1室0厅 ,36.64平米,南,中层,简装修,2015年,有 ,商品房,普通住宅,平层,塔板结合,岳麓,0,39.8,10863元/平米
1室0厅 ,36.68平米,南,高层,精装修,2015年,有 ,商品房,普通住宅,平层,塔板结合,岳麓,0,39,10633元/平米
1室0厅 ,36.69平米,南,中层,精装修,2017年,无 ,商品房,普通住宅,平层,板楼,岳麓,0,42,11448元/平米
1室0厅 ,36.69平米,南,高层,精装修,2004年,无 ,商品房,,,板楼,岳麓,1,35,9540元/平米
1室0厅 ,36.7平米,南,中层,简装修,2004年,有 ,个人产权,普通住宅,平层,板楼,天心,1,23,6268元/平米
1室0厅 ,36.95平米,北,低层,简装修,1995年,无 ,商品房,普通住宅,平层,砖混,天心,1,31,8390元/平米
1室0厅 ,36.95平米,南,低层,精装修,2010年,有 ,商品房,,,板楼,岳麓,0,38,10285元/平米
1室0厅 ,36平米,南,中层,精装修,2020年,有 ,个人产权,普通住宅,平层,板楼,芙蓉,0,26.8,7445元/平米
1室0厅 ,36平米,南,高层,中装修,2002年,有 ,个人产权,普通住宅,平层,钢混,长沙县,1,23,6389元/平米
1室0厅 ,37.19平米,北,中层,毛坯,2013年,有 ,商品房,普通住宅,平层,板楼,天心,1,34.8,9358元/平米
1室0厅 ,37.19平米,南,低层,中装修,2007年,有 ,个人产权,普通住宅,平层,板楼,天心,1,28.8,7745元/平米
1室0厅 ,37.2平米,南,低楼层,暂无,,,,,,,天心,0,28,7527元/平米
1室0厅 ,37.48平米,北,高楼层,暂无,,,,,,,开福,0,30,8005元/平米
1室0厅 ,37.4平米,南,低层,中装修,2000年,无 ,个人产权,普通住宅,平层,钢混,芙蓉,1,33,8824元/平米
1室0厅 ,37.57平米,北,中楼层,暂无,,,,,,,天心,0,32,8518元/平米
1室0厅 ,37.5平米,南,中层,精装修,2004年,无 ,个人产权,普通住宅,平层,板楼,长沙县,0,25.8,6880元/平米
1室0厅 ,37.5平米,南,中层,精装修,2006年,有 ,个人产权,普通住宅,平层,钢混,长沙县,0,25.8,6880元/平米
1室0厅 ,37.6平米,南,高层,简装修,2000年,有 ,商品房,普通住宅,,板楼,开福,1,35,9309元/平米
1室0厅 ,37.72平米,北,中楼层,暂无,,,,,,,雨花,0,46,12196元/平米
1室0厅 ,37平米,北,高层,精装修,2000年,有 ,个人产权,普通住宅,平层,板楼,天心,1,27.8,7514元/平米
1室0厅 ,37平米,东,高层,中装修,2006年,有 ,个人产权,普通住宅,平层,板楼,雨花,1,45,12163元/平米
1室0厅 ,37平米,南,低层,毛坯,2020年,有 ,商品房,普通住宅,平层,钢混,岳麓,0,39.8,10757元/平米
1室0厅 ,38.04平米,南,中楼层,暂无,,,,,,,开福,0,36,9464元/平米
1室0厅 ,38.08平米,南,高层,毛坯,2015年,有 ,经济适用房,普通住宅,平层,,长沙县,0,30,7879元/平米
1室0厅 ,38.29平米,东,中层,毛坯,2012年,有 ,商品房,普通住宅,平层,板楼,天心,1,33.9,8854元/平米
1室0厅 ,38.29平米,南,中层,精装修,2008年,有 ,商品房,普通住宅,,板楼,天心,1,33,8619元/平米
1室0厅 ,38.36平米,北,低层,精装修,2009年,无 ,商品房,,,板楼,长沙县,1,31.8,8290元/平米
1室0厅 ,38.36平米,南,中层,精装修,2012年,有 ,商品房,普通住宅,,板楼,长沙县,1,28.8,7508元/平米
1室0厅 ,38.42平米,南,低层,简装修,2005年,有 ,商品房,普通住宅,,板楼,芙蓉,1,30,7809元/平米
1室0厅 ,38.49平米,东北,低层,简装修,2016年,,,,,,长沙县,1,37,9613元/平米
1室0厅 ,38.49平米,东北,中楼层,暂无,,,,,,,长沙县,1,37,9613元/平米
1室0厅 ,38.53平米,北,中楼层,暂无,,,,,,,岳麓,1,41.8,10849元/平米
1室0厅 ,38.5平米,西,低层,暂无,1999年,无 ,个人产权,普通住宅,,,天心,1,45,11689元/平米
1室0厅 ,38.81平米,东南,高层,精装修,2012年,有 ,商品房,,,板楼,天心,1,35.8,9225元/平米
1室0厅 ,38.81平米,南,中层,精装修,2017年,有 ,个人产权,普通住宅,平层,钢混,天心,1,32,8246元/平米
1室0厅 ,38.81平米,南,中层,精装修,2015年,有 ,商品房,普通住宅,平层,,天心,1,32,8246元/平米
1室0厅 ,38.81平米,南,中层,毛坯,2017年,有 ,个人产权,普通住宅,平层,板楼,天心,1,32,8246元/平米
1室0厅 ,38.82平米,南,中层,中装修,2003年,无 ,个人产权,普通住宅,平层,钢混,天心,1,35,9001元/平米
1室0厅 ,38.82平米,南,中楼层,暂无,,,,,,,天心,1,32,8244元/平米
1室0厅 ,38平米,东,中层,精装修,2011年,有 ,个人产权,普通住宅,平层,板楼,长沙县,1,25,6579元/平米
1室0厅 ,38平米,东,中层,中装修,2005年,无 ,个人产权,普通住宅,平层,钢混,长沙县,1,25,6579元/平米
1室0厅 ,38平米,南,低层,简装修,,无 ,个人产权,普通住宅,平层,塔楼,芙蓉,1,30,7895元/平米
1室0厅 ,38平米,南,中层,精装修,2008年,有 ,个人产权,普通住宅,平层,塔楼,芙蓉,1,38,10000元/平米
1室0厅 ,38平米,南,高层,精装修,2000年,无 ,商品房,普通住宅,平层,,长沙县,1,23.8,6264元/平米
1室0厅 ,38平米,南,中层,精装修,2008年,无 ,商品房(免税),普通住宅,平层,板楼,雨花,1,38,9998元/平米
1室0厅 ,38平米,南,高层,精装修,1998年,无 ,个人产权,普通住宅,平层,板楼,岳麓,1,42.5,11185元/平米
1室0厅 ,38平米,西,低楼层,暂无,,,,,,,雨花,1,32,8422元/平米
1室0厅 ,39.08平米,南,高层,精装修,2010年,有 ,商品房,,,板楼,天心,1,40.5,10364元/平米
1室0厅 ,39.15平米,北,高层,精装修,2012年,有 ,商品房,普通住宅,,板楼,岳麓,1,36,9196元/平米
1室0厅 ,39.15平米,南,中层,毛坯,2010年,无 ,个人产权,普通住宅,平层,钢混,岳麓,1,39.8,10167元/平米
1室0厅 ,39.1平米,东,低楼层,暂无,,,,,,,天心,1,44.2,11305元/平米
1室0厅 ,39.24平米,南,中层,暂无,,无 ,商品房,普通住宅,,塔楼,长沙县,1,31.8,8104元/平米
1室0厅 ,39.33平米,南,中层,精装修,2009年,有 ,商品房(免税),普通住宅,平层,板楼,岳麓,1,42,10679元/平米
1室0厅 ,39.37平米,西,中层,精装修,2012年,有 ,商品房,普通住宅,平层,板楼,雨花,1,48,12193元/平米
1室0厅 ,39.42平米,南,中楼层,暂无,,,,,,,长沙县,1,38,9640元/平米
1室0厅 ,39.45平米,东南,中层,精装修,2010年,无 ,个人产权,普通住宅,平层,板楼,望城,1,41.9,10616元/平米
1室0厅 ,39.47平米,北,中层,简装修,2005年,有 ,商品房,,,板楼,天心,1,43,10895元/平米
1室0厅 ,39.47平米,南,高层,中装修,,无 ,个人产权,普通住宅,平层,钢混,天心,1,38,9628元/平米
1室0厅 ,39.47平米,南,中层,精装修,2004年,有 ,商品房,普通住宅,平层,板楼,天心,1,38,9628元/平米
1室0厅 ,39.6平米,西,高层,精装修,2006年,有 ,个人产权,普通住宅,平层,板楼,芙蓉,1,31.8,8031元/平米
1室0厅 ,39.77平米,北,中层,简装修,2000年,有 ,个人产权,普通住宅,平层,钢混,开福,1,52,13076元/平米
1室0厅 ,39.77平米,北,中层,暂无,2014年,无 ,商品房,普通住宅,平层,板楼,开福,1,52,13076元/平米
1室0厅 ,39.79平米,西,低楼层,暂无,,,,,,,芙蓉,1,45.8,11511元/平米
1室0厅 ,39.7平米,南,高楼层,暂无,,,,,,,天心,1,28,7053元/平米
1室0厅 ,39.85平米,南,高层,精装修,,有 ,个人产权,普通住宅,平层,钢混,芙蓉,1,40,10038元/平米
1室0厅 ,39.88平米,南,中层,精装修,2020年,有 ,商品房,普通住宅,,板楼,岳麓,1,39,9780元/平米
